NO,True Label,Predicted Label,TP,TN,FP,FN
1,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
2,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
3,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
4,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
5,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
6,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
7,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
8,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
9,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
10,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
11,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
12,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
13,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
14,Kontak dengan Arus Listrik,Tertimpa Benda-Benda Jatuh,0,0,0,1
15,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
16,Paparan/Kontak dengan Suhu Ekstrem ,Tertimpa Benda-Benda Jatuh,0,0,0,1
17,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
18,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Tertimpa Benda-Benda Jatuh,0,0,0,1
19,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
20,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",Tertimpa Benda-Benda Jatuh,0,0,0,1
21,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
