Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
Terjatuh,kerja,0.999,0.12384259259259259,0.00021377174869835044,2.6447573534274045e-05
Terjatuh,jatuh,0.9770643348501726,0.12384259259259259,0.0001255270495626219,1.518904669093407e-05
Terjatuh,korban,0.7143643029408242,0.12384259259259259,0.0007354930659538244,6.506813550629251e-05
Terjatuh,laku,0.6086948116296964,0.12384259259259259,7.603627468302146e-05,5.731792581929397e-06
Terjatuh,lift,0.5259863955990854,0.12384259259259259,6.238393623248892e-05,4.063659593236659e-06
Terjatuh,tewas,0.44285526156445526,0.12384259259259259,0.0003895687926981105,2.136564477532497e-05
Terjatuh,orang,0.3947596828389609,0.12384259259259259,0.0001854485960058885,9.06622256576044e-06
Terjatuh,proyek,0.3557641782054641,0.12384259259259259,0.00012440687880490154,5.4812125892606295e-06
Terjatuh,bangun,0.353878255196536,0.12384259259259259,0.00016800640413539616,7.36291436091291e-06
Terjatuh,lantai,0.34157228659203537,0.12384259259259259,0.0001247131801830128,5.27551686943351e-06
Terperangkap di dalam atau diantara benda-benda,korban,0.999,0.13194444444444453,0.00014762890409915312,1.9459334921569632e-05
Terperangkap di dalam atau diantara benda-benda,mesin,0.9407315201953161,0.13194444444444453,6.190617166836454e-05,7.684060088041693e-06
Terperangkap di dalam atau diantara benda-benda,jepit,0.7990442199410804,0.13194444444444453,6.190617166836454e-05,6.526733363579534e-06
Terperangkap di dalam atau diantara benda-benda,kerja,0.7547189924341946,0.13194444444444453,0.00011969987984406767,1.1919831121512294e-05
Terperangkap di dalam atau diantara benda-benda,laku,0.626997771566788,0.13194444444444453,8.126847370561597e-05,6.723249210618415e-06
Terperangkap di dalam atau diantara benda-benda,longsor,0.5764909057661335,0.13194444444444453,6.190617166836454e-05,4.708878851212331e-06
Terperangkap di dalam atau diantara benda-benda,evakuasi,0.5374923243039179,0.13194444444444453,7.907007809774713e-05,5.607580841203878e-06
Terperangkap di dalam atau diantara benda-benda,giling,0.46392421365713,0.13194444444444453,6.190617166836454e-05,3.7894143626640098e-06
Terperangkap di dalam atau diantara benda-benda,orang,0.4504122424221441,0.13194444444444453,0.00027835518989014597,1.6542480000673518e-05
Terperangkap di dalam atau diantara benda-benda,tewas,0.4398665381586165,0.13194444444444453,8.550570771383829e-05,4.9625756475894655e-06
Tertimpa Benda-Benda Jatuh,timpa,0.999,0.12384259259259259,7.998802883203116e-05,9.896018942062853e-06
